Events
100
Subject,Context,Name,Time (s),Description
s2702tdvg,Left,Foot Strike,5.32,The instant the heel strikes the ground
s2702tdvg,Left,Foot Off,6.51,The instant the toe leaves the ground
s2702tdvg,Right,Foot Strike,4.66,The instant the heel strikes the ground
s2702tdvg,Right,Foot Off,5.63,The instant the toe leaves the ground

Devices
1000
,,FP1 (3979) - Force,,,FP1 (3979) - Moment,,,FP1 (3979) - CoP,,,FP2 (3085) - Force,,,FP2 (3085) - Moment,,,FP2 (3085) - CoP,,,Imported Analog EMG - Voltage,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,S1x,S1y,S1z,S2x,S2y,S2z,xpc sync
,,N,N,N,mm.N,mm.N,mm.N,mm,mm,mm,N,N,N,mm.N,mm.N,mm.N,mm,mm,mm,V,V,V,V,V,V,V
24,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0849552,0.0172449,4.32248
24,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0864811,0.0163293,4.32156
24,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0916691,0.0172449,4.32279
24,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.079462,0.015719,4.3234
24,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0657291,0.0126672,4.32309
24,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.103876,0.0117517,4.3234
24,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0803775,0.022738,4.32233
24,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0788517,0.0132776,4.32294
24,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0855655,0.0166345,4.32263
24,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00285889,0.0855655,0.015719,4.32416
25,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0861759,0.015719,4.32126
25,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0837345,0.0169397,4.32309
25,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.0011084,0.0864811,0.01755,4.3234
25,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.0144556,0.0812931,0.0151086,4.3237
25,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.0205591,0.0904483,0.01755,4.32218
25,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.000803223,0.0806827,0.0163293,4.32218
25,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.0011084,0.0834293,0.0151086,4.32095
25,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00377441,0.0861759,0.015719,4.32248
25,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00407959,0.0849552,0.0154138,4.3237
25,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00102783,0.0855655,0.0160242,4.32355
26,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00926758,0.0864811,0.0163293,4.32233
26,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00499512,0.0825138,0.0160242,4.32218
26,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.00385498,0.0858707,0.0154138,4.32462
26,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00499512,0.08465,0.0169397,4.32248
26,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0861759,0.0160242,4.32172
26,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00468994,0.0855655,0.0154138,4.32492
26,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0855655,0.0154138,4.32431
26,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0849552,0.0163293,4.32202
26,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0864811,0.0160242,4.32309
26,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00041748,0.0855655,0.0169397,4.32324
27,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00713135,0.0858707,0.0148035,4.32263
27,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0861759,0.0166345,4.32126
27,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.000498047,0.0852604,0.0154138,4.32233
27,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0840397,0.0166345,4.32187
27,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0843448,0.0154138,4.32187
27,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0861759,0.0160242,4.32294
27,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0855655,0.015719,4.32218
27,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0852604,0.0160242,4.32004
27,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00407959,0.0864811,0.015719,4.32858
27,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00682617,0.0855655,0.0163293,4.31806
28,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00285889,0.0864811,0.0163293,4.31851
28,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0849552,0.0151086,4.32401
28,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00041748,0.0855655,0.0163293,4.3237
28,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0861759,0.0160242,4.32156
28,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0864811,0.015719,4.32126
28,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0849552,0.015719,4.32309
28,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00102783,0.0855655,0.0163293,4.31867
28,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0861759,0.0163293,4.32492
28,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0858707,0.0154138,4.32218
28,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0858707,0.0154138,4.32248
29,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0849552,0.0166345,4.32385
29,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0861759,0.0169397,4.32263
29,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00041748,0.0852604,0.0160242,4.3205
29,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0855655,0.0154138,4.32172
29,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0849552,0.0169397,4.31973
29,5,0,0,0,0,0,0,0,-0,0,-0.352812,5.33512,10.129,-1889.84,819.403,-1283.8,-80.8969,-186.577,0,-10.0173,-10.012,-10.0058,0.00224853,0.0852604,0.0151086,4.32462
29,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0852604,0.0151086,4.32538
29,7,0,0,0,0,0,0,0,-0,0,0.298622,7.34435,9.84709,-2064.18,685.471,-1251.25,-69.6115,-209.623,0,-10.0173,-10.012,-10.0058,0.00407959,0.0852604,0.0160242,4.31973
29,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0867862,0.0163293,4.32248
29,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0852604,0.020907,4.32431
30,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00285889,0.0858707,0.0199914,4.32141
30,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0852604,0.0141931,4.32187
30,2,0,0,0,0,0,0,0,-0,0,-2.37275,3.99819,9.60732,-971.982,1015.26,-1279.18,-105.676,-101.171,0,-10.0173,-10.012,-10.0058,0.00163818,0.0852604,0.022738,4.32248
30,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0849552,0.0141931,4.32218
30,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0852604,0.0016809,4.32462
30,5,0,0,0,0,0,0,0,-0,0,0.973252,6.67832,7.61921,-1952.35,812.006,-1242.77,-106.574,-256.241,0,-10.0173,-10.012,-10.0058,0.00163818,0.0834293,0.022738,4.32309
30,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0864811,0.0206018,4.32279
30,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00102783,0.0843448,0.0166345,4.32187
30,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0855655,0.0163293,4.32172
30,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0843448,0.0178552,4.32248
31,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0797672,0.015719,4.32309
31,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00346924,0.107843,0.0160242,4.32355
31,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0809879,0.0181604,4.32401
31,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0797672,0.00625853,4.32294
31,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0904483,0.0138879,4.32309
31,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00377441,0.0870914,0.0178552,4.32492
31,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00285889,0.0861759,0.0163293,4.32401
31,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0858707,0.0163293,4.3208
31,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0901432,0.0129724,4.32233
31,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.082819,0.0132776,4.32568
32,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.0120947,0.0883121,0.0242639,4.32324
32,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.0243018,0.0873966,0.0184656,4.32095
32,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.0126245,0.08465,0.0141931,4.32233
32,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.0089624,0.0849552,0.0181604,4.32324
32,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0858707,0.015719,4.32309
32,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0858707,0.0138879,4.32126
32,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00346924,0.0861759,0.0148035,4.32279
32,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00438477,0.0815983,0.0135828,4.32218
32,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.10174,0.0163293,4.32416
32,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.0132349,0.0831241,0.0172449,4.32294
33,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00499512,0.0831241,0.015719,4.32126
33,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00041748,0.0880069,0.0163293,4.32156
